100.02	4.68E+03			
100.09	3.86E+05			
100.16	2.55E+04			
100.23	1.40E+05			
100.3	2.34E+03			5.66E+06
100.37	2.35E+05			
100.44	4.49E+05			
100.51	3.80E+03			
100.58	0.00E+00			
100.65	2.93E+02			
100.72	0.00E+00			
100.79	2.98E+05			
100.86	5.85E+02			
100.93	2.93E+02			
101	3.65E+05			
101.07	5.88E+05			
101.14	1.71E+05			
101.21	1.46E+03			
101.28	3.22E+03			
101.35	1.46E+06			
101.42	5.41E+05			
101.49	7.41E+05			
101.56	4.78E+05			
101.63	5.88E+05			
101.7	1.31E+06			
101.77	4.82E+05			
101.84	1.56E+06			
101.91	1.20E+06			
101.98	1.46E+06			
102.05	4.03E+05			
102.12	3.00E+05			
102.19	7.24E+05			
102.26	3.10E+05			
102.33	1.10E+05			
102.4	2.86E+05			
102.47	2.20E+05			
102.54	0.00E+00			
102.61	2.36E+05			
102.68	7.44E+05			
102.75	2.28E+05			
102.82	2.70E+05			
102.89	0.00E+00			
102.96	0.00E+00			
103.03	5.05E+05			
103.1	1.76E+03			
103.17	5.85E+02			
103.24	0.00E+00			
103.31	4.37E+05			
103.38	1.76E+03			
103.45	5.69E+05			
103.52	2.67E+05			
103.59	6.06E+05			
103.66	3.01E+04			
103.73	2.73E+05			
103.8	1.70E+04			
103.87	8.08E+04			
103.94	4.68E+05			
104.01	2.52E+05			
104.08	4.59E+05			
104.15	0.00E+00			
104.22	1.17E+03			
104.29	4.10E+03			
104.36	3.51E+03			
104.43	2.34E+03			
104.5	1.84E+04			
104.57	2.93E+02			
104.64	1.91E+05			
104.71	5.53E+05			
104.78	2.23E+05			
104.85	0.00E+00			
104.92	2.05E+03			
104.99	0.00E+00			
105.07	4.10E+03			
105.14	0.00E+00			
105.28	0.00E+00			
105.35	5.85E+02			
105.42	1.46E+03			
105.49	0.00E+00			
105.56	5.45E+05			
105.63	5.85E+02			
105.7	4.43E+05			
105.77	1.41E+05			
105.84	1.30E+05			
105.91	6.15E+05			
105.98	0.00E+00			
106.05	5.56E+03			
106.12	6.32E+05			
106.19	1.46E+05			
106.26	8.78E+02			
106.33	2.75E+04			
106.4	1.73E+05			
106.47	0.00E+00			
106.54	1.54E+05			
106.61	0.00E+00			
106.68	1.76E+03			
106.75	0.00E+00			
106.82	0.00E+00			
106.89	3.90E+05			
106.96	6.04E+05			
107.03	1.17E+03			
107.1	0.00E+00			
107.24	0.00E+00			
107.31	1.05E+04			
107.38	9.88E+05			
107.45	3.92E+05			
107.52	5.08E+05			
107.59	2.91E+05			
107.66	8.78E+02			
107.73	7.80E+05			
107.8	0.00E+00			
107.87	7.52E+04			
